text,location,phase
finished series great performance j get well soon theamitsadh simply red heart selector juniorbachchan breathe2 breatheintotheshadows primevideoin covid19breathe2 breathe2 breatheintotheshadows breatheintotheshadows covid19,delhi,2
scary covid19covid19,delhi,2
order effectiveness covid19 distancing gt hand washing gt mask ps varying data coming regarding different mask ’ effectiveness ’ handle mask well source infection folded hands light skin tone “ mask double edged sword ” staysafestayhealthycovid19 staysafestayhealthy,delhi,2
body interested yog classes 7 8 everyday free cost dr praveen saroha ji sports director nsit may contact shivani varmani gmail com google meet platform anybody attend yogaforall covid19 communityimmunityyogaforall covid19 communityimmunity,delhi,2
howrah station lockdown mission memories howrah station bengalfightscorona covid19 photography bnwphotography stayhomestaysafe staysafe kolkata – kolkatahowrah station bengalfightscorona covid19 photography bnwphotography stayhomestaysafe staysafe kolkata,kolkata,2
covid19 stay safe healthy good night everyonecovid19,kolkata,2
railminindia witnesses spike cases 8 test covid19 positive rail bhawan delhi 43 others self isolate indiafightscoronacovid19 indiafightscorona,kolkata,2
medical experts given many advise contain spread covid19 scientifically proved far away target death rate also spiralling india might lose 10 million people covid 19 end 2021,kolkata,2
millions children wont able go school covid19 female refugees high risk world probably face highest rate drop shlc bd shlc cities drshilpiroy tsowgatcovid19,kolkata,2
social distancing red heart selector,chennai,2
chennai bengaluru hyderabad ki 3 4hrs distance lo unnayi heavy movement places veetiki added ga public social distancing lekapovadam lockdown lift cheyyadam tho govt cheyyagaligedi done individual care option govt side nundi testing thappa em cheyyaleru,chennai,2
people choosing quit social media bbc ideas https youtu ij xxzahjps via youtube – lakeview,chennai,2
good see collr karaikal active twitter thanks updating informations social media,chennai,2
modi failed pm political strategic diplomatic economic monetary financial plain social initiatives ended miserable flops negative side without benefits accruing reality amount jalra changemodi failed pm,chennai,2
true guess people r roaming around fun without masks social distancing risking everyone need thankful home stay think doctors covid warriors r fighting day n nite cure others,bangalore,2
congress needs hardik like people,bangalore,2
didnt know recycled craft artist social environment activist said social work rent pay stay planet earth past managed to… https www instagram com p ccoh7nofbft igshid oy6njr02j6ao,bangalore,2
mercymission1 dr taha mateen team mercy angels extraordinary social service time say thank clapping hands clapping hands thumbs thumbs folded hands folded hands,bangalore,2
wearing mask social distancing using sanitiser washing hands frequently good important moving outside homes resting places unecassarily without genuine reason stoped except health workers officials,bangalore,2
decade ago active social site called skyrocket sky rockstar dont remember,hyderabad,2
painful leave trs social media everyone trs party social media guys going active one day someone come us ask stay majority every time upcoming ghmc elections shows social media needs,hyderabad,2
date time mentioned poster invite others via social media sources,hyderabad,2
one wants complain bills private hospitals information maybe helpful vijaygopal social toon,hyderabad,2
viewed indian movie sarrainodu hindi dubbed emerged first ever 300m viewed movie youtube ok hand ok hand king social media alluarjun red heart picture abhi baaki hai mere dost surely witness pushpa euphoria box office records storm 2021sarrainodu pushpa,hyderabad,2
moral social responsibility duty,mumbai,2
parent living nightmare learning ’ offered school upto 5 yo cant matched add social distancing ’ left offer highly energetic child,mumbai,2
